date,pluie,delta,skylight,gt_48hr
2015-03-01 13:29:11.000,0,0 days 00:05:02,DAY,False
2015-03-01 13:34:12.000,0,0 days 00:05:01,DAY,False
2015-03-01 13:39:12.000,0,0 days 00:05:00,DAY,False
2015-03-01 13:44:14.000,0,0 days 00:05:02,DAY,False
2015-03-01 13:49:14.000,0,0 days 00:05:00,DAY,False
2015-03-01 13:54:15.000,0,0 days 00:05:01,DAY,False
2015-03-01 13:59:16.000,0,0 days 00:05:01,DAY,False
2015-03-01 14:04:17.000,0,0 days 00:05:01,DAY,False
2015-03-01 14:09:17.000,0,0 days 00:05:00,DAY,False
2015-03-01 14:14:19.000,0,0 days 00:05:02,DAY,False
2015-03-01 14:19:20.000,0,0 days 00:05:01,DAY,False
2015-03-01 14:24:22.000,0,0 days 00:05:02,DAY,False
2015-03-01 14:29:23.000,0,0 days 00:05:01,DAY,False
2015-03-01 14:34:23.000,0,0 days 00:05:00,DAY,False
2015-03-01 14:39:23.000,0,0 days 00:05:00,DAY,False
2015-03-01 14:44:24.000,0,0 days 00:05:01,DAY,False
2015-03-01 14:49:26.000,0,0 days 00:05:02,DAY,False
2015-03-01 14:54:27.000,0,0 days 00:05:01,DAY,False
2015-03-01 14:59:28.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:04:29.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:09:31.000,0,0 days 00:05:02,DAY,False
2015-03-01 15:14:32.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:19:33.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:24:33.000,0,0 days 00:05:00,DAY,False
2015-03-01 15:29:33.000,0,0 days 00:05:00,DAY,False
2015-03-01 15:34:35.000,0,0 days 00:05:02,DAY,False
2015-03-01 15:39:36.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:44:37.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:49:38.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:54:39.000,0,0 days 00:05:01,DAY,False
2015-03-01 15:59:41.000,0,0 days 00:05:02,DAY,False
2015-03-01 16:04:43.000,0,0 days 00:05:02,DAY,False
2015-03-01 16:09:44.000,0,0 days 00:05:01,DAY,False
2015-03-01 16:14:45.000,0,0 days 00:05:01,DAY,False
2015-03-01 16:19:46.000,0,0 days 00:05:01,DAY,False
2015-03-01 16:24:46.000,0,0 days 00:05:00,DAY,False
2015-03-01 16:29:48.000,0,0 days 00:05:02,DAY,False
