timestamp,desc
2015-03-01 11:58:27.480,Problem found: Very cloudy
2015-03-01 11:58:51.889,No more problem
2015-03-01 11:59:00.514,Problem found: Very cloudy
2015-03-01 11:59:00.530,Problem found: Very cloudy
2015-03-01 11:59:02.061,Problem found: Very cloudy
2015-03-01 11:59:05.108,No more problem
2015-03-01 11:59:13.125,Problem found: Very cloudy
2015-03-01 11:59:13.140,Problem found: Very cloudy
2015-03-01 12:07:23.405,DAY
2015-03-01 12:07:23.655,Problem found: Very cloudy
2015-03-01 12:07:23.655,Problem found: Very cloudy
"2015-03-01 12:07:30.656,""Problem found: Very cloudy, Telescope non initialized"""
2015-03-01 12:10:23.328,Problem found: Very cloudy
2015-03-01 12:20:28.875,No more problem
2015-03-01 12:20:32.392,Problem found: Very cloudy
2015-03-01 12:20:32.407,Problem found: Very cloudy
2015-03-01 12:21:49.687,No more problem
2015-03-01 12:21:51.203,Problem found: Very cloudy
2015-03-01 12:21:51.218,Problem found: Very cloudy
2015-03-01 12:22:24.705,No more problem
2015-03-01 12:22:28.219,Problem found: Very cloudy
2015-03-01 12:22:28.235,Problem found: Very cloudy
2015-03-01 12:24:10.063,No more problem
2015-03-01 12:24:12.579,Problem found: Very cloudy
2015-03-01 12:24:12.594,Problem found: Very cloudy
2015-03-01 12:27:22.798,No more problem
2015-03-01 12:27:25.312,Problem found: Very cloudy
2015-03-01 12:27:25.328,Problem found: Very cloudy
2015-03-01 12:27:29.876,No more problem
2015-03-01 12:27:32.392,Problem found: Very cloudy
2015-03-01 12:27:32.408,Problem found: Very cloudy
2015-03-01 12:29:19.220,No more problem
2015-03-01 12:29:22.235,Problem found: Very cloudy
2015-03-01 12:29:22.251,Problem found: Very cloudy
2015-03-01 12:30:04.971,No more problem
2015-03-01 12:30:07.486,Problem found: Very cloudy
2015-03-01 12:30:07.501,Problem found: Very cloudy
2015-03-01 12:30:12.065,No more problem
2015-03-01 12:30:14.581,Problem found: Very cloudy
2015-03-01 12:30:14.597,Problem found: Very cloudy
2015-03-01 12:30:17.643,No more problem
2015-03-01 12:30:20.159,Problem found: Very cloudy
2015-03-01 12:30:20.174,Problem found: Very cloudy
2015-03-01 12:52:05.250,No more problem
2015-03-01 12:52:07.766,Problem found: Very cloudy
2015-03-01 12:52:07.782,Problem found: Very cloudy
2015-03-01 12:54:01.828,No more problem
2015-03-01 12:54:04.345,Problem found: Very cloudy
2015-03-01 12:54:04.361,Problem found: Very cloudy
2015-03-01 12:54:07.408,No more problem
